,Path,Automation Name,Activities,Status,Next Run,Last Run Status,Last Run,Last Modified
134,Datorama,Repeat Purchaser,"Opry Show Repeaters
Opry_Tour_Repeaters
Ryman_Show_Repeaters
Ryman_Tour_Repeaters
Repeaters_to_Dato(Extract)
Repeaters_to_dato (Transfer)",Scheduled,2024-02-23 04:00:00,Complete,2024-02-22 04:09:00,2024-02-22 04:09:00
135,Marketing,Restore Yesterdays Manual Forms and Sweeps,Restore Yesterdays Manual Forms and Sweeps,Ready,--,Complete,2024-01-03 13:06:00,2024-01-03 13:09:00
136,Rex Direct,Rex Direct,"REX Direct Import (Import)
Rex Direct Staging
Rex Direct Standard Input
Rex Direct Share",Active File Drop,--,Complete,2024-02-22 04:07:00,2024-02-22 04:07:00
137,One Time Requests,Rex Direct Purchaser Pull,Rex_Direct_Purchaser_Pull,Ready,--,Complete,2024-01-05 09:05:00,2024-01-05 09:05:00
138,Rex Direct,Rex Purchasers,Rex_Direct_Purchaser_Pull,Scheduled,,Complete,2024-04-15 14:35:00,2024-04-15 14:35:00
139,Rex Direct,Rex Reporting,"Rex reporting (Extract)
Rex reporting (Transfer)",Scheduled,2024-02-22 13:00:00,Complete,2024-02-21 13:00:00,2024-02-21 13:00:00
140,One Time Requests,Run Activities Manually,,Ready,--,Complete,2024-02-21 09:12:00,2024-02-21 09:48:00
141,,Ryman Lounge Count Queries ,"Ryman Lounge Count Per Day
Ryman_Day_0_Lounge_Count",Scheduled,2024-02-23 07:00:00,Complete,2024-02-22 07:02:00,2024-02-22 07:02:00
142,Marketing/Recommendations,Ryman Newsletter Show Recommendation,"Clear Ryman Show Reco
Ryman_Reco_Already_Bought
Ryman Newsletter Show Recommendation 1
Ryman Newsletter Show Recommendation 2
Ryman Newsletter Show Recommendation 3
Ryman Newsletter Show Recommendation - High Level 1
Ryman Newsletter Show Recommendation - High Level 2
Ryman Newsletter Show Recommendation - High Level 3
Ryman Newsletter Show Recommendation - High Level 2.2
Ryman Newsletter Show Recommendation - High Level 3.2
Ryman Newsletter Show Recommendation - High Level 2.3
Ryman Newsletter Show Recommendation - High Level 3.3
Ryman Newsletter Show Recommendation - High Level 3.4
Ryman Newsletter Show Recommendation - High Level 2.4
Ryman Newsletter Show Recommendation Expressed 1
Ryman Newsletter Show Recommendation Expressed 2
Ryman Newsletter Show Recommendation Expressed 3
Ryman Newsletter Show Recommendation - No Genre Match
Ryman Newsletter Show Recommendation 1 - Fall Back
Ryman Newsletter Show Recommendation 2 - Fall Back
Ryman Newsletter Show Recommendation 3 - Fall Back",Scheduled,2024-02-23 05:30:00,Complete,2024-02-22 05:43:00,2024-02-22 05:43:00
143,Marketing/Recommendations,Ryman Newsletter V2,"Newsletter Ryman v2
Ryman_Reco_Already_Bought
Ryman Newsletter Show Recommendation 1
Ryman Newsletter Show Recommendation 2
Ryman Newsletter Show Recommendation 3
Ryman Newsletter Show Recommendation - High Level 1 V2
Ryman Newsletter Show Recommendation - High Level 2 V2
Ryman Newsletter Show Recommendation - High Level 3 V2
Ryman Newsletter Show Recommendation - High Level 2.2 V2
Ryman Newsletter Show Recommendation - High Level 3.2 V2
Ryman Newsletter Show Recommendation - High Level 2.3 V2
Ryman Newsletter Show Recommendation - High Level 3.3 V2
Ryman Newsletter Show Recommendation - High Level 3.4 V2
Ryman Newsletter Show Recommendation - High Level 2.4 V2
Ryman Newsletter Show Recommendation - No Genre Match V2
Ryman Newsletter Show Recommendation 1 - Fall Back V2
Ryman Newsletter Show Recommendation 2 - Fall Back V2
Ryman Newsletter Show Recommendation 3 - Fall Back V2",Paused Schedule,--,Complete,2024-02-02 05:44:00,2024-02-02 11:04:00
